user_id,department,role,join_date,platform_pref,monthly_sessions_avg,engagement_tier,churned,churn_date
U0379,Neurology,Nurse Practitioner,2023-01-24,Web,13,Active,No,
U0380,Emergency,Physician Assistant,2023-02-19,Web,12,Active,No,
U0381,Primary Care,Physician,2023-03-15,Web,25,Power User,No,
U0382,Pediatrics,Physician Assistant,2023-03-09,Android,20,Power User,No,
U0383,Neurology,Care Coordinator,2023-01-15,iOS,8,Casual,No,
U0384,Pediatrics,Care Coordinator,2023-03-17,Web,18,Active,No,2023-08-05
U0385,Oncology,Nurse Practitioner,2023-02-17,Web,14,Active,No,
U0386,Cardiology,Physician Assistant,2023-03-23,iOS,11,Active,No,
U0387,Cardiology,Care Coordinator,2023-01-22,Web,10,Active,No,2023-09-01
U0388,Oncology,Physician Assistant,2023-01-18,Web,15,Active,No,
U0389,Primary Care,Physician Assistant,2023-02-22,Android,13,Active,No,2023-03-17
U0390,Cardiology,Registered Nurse,2023-01-05,Web,18,Active,No,
U0391,Neurology,Care Coordinator,2023-03-05,Web,10,Active,No,
U0392,Pediatrics,Care Coordinator,2023-01-06,iOS,11,Active,No,
U0393,Neurology,Physician,2023-03-25,Android,18,Active,No,
U0394,Oncology,Physician Assistant,2023-01-16,iOS,12,Active,No,
U0395,Emergency,Registered Nurse,2023-04-01,iOS,19,Active,No,
U0396,Oncology,Care Coordinator,2023-02-14,iOS,9,Casual,No,
U0397,Primary Care,Registered Nurse,2023-02-07,iOS,13,Active,No,
U0398,Cardiology,Physician Assistant,2023-01-08,Android,11,Active,No,
U0399,Cardiology,Nurse Practitioner,2023-01-19,iOS,14,Active,No,
U0400,Emergency,Registered Nurse,2023-03-22,Web,15,Active,No,
U0401,Oncology,Physician Assistant,2023-03-07,Android,15,Active,No,
U0402,Emergency,Physician,2023-01-12,iOS,12,Active,No,
U0403,Pediatrics,Physician,2023-03-10,Android,10,Active,No,
U0404,Pediatrics,Registered Nurse,2023-03-12,iOS,28,Power User,No,
U0405,Pediatrics,Physician,2023-01-06,Web,24,Power User,No,
U0406,Neurology,Physician Assistant,2023-01-01,Android,19,Active,No,
U0407,Cardiology,Registered Nurse,2023-01-21,Web,28,Power User,No,2023-05-25
U0408,Oncology,Physician Assistant,2023-03-22,Web,9,Casual,No,
U0409,Primary Care,Physician,2023-04-01,Web,20,Power User,No,
U0410,Neurology,Physician,2023-01-02,iOS,20,Power User,No,
U0411,Neurology,Nurse Practitioner,2023-03-03,iOS,20,Power User,Yes,
U0412,Pediatrics,Nurse Practitioner,2023-02-18,iOS,18,Active,No,
U0413,Primary Care,Nurse Practitioner,2023-01-09,iOS,15,Active,No,
U0414,Primary Care,Nurse Practitioner,2023-02-22,iOS,16,Active,No,
U0415,Oncology,Nurse Practitioner,2023-01-16,Android,13,Active,No,
U0416,Pediatrics,Physician,2023-02-01,iOS,16,Active,No,
U0417,Primary Care,Physician,2023-03-26,iOS,20,Power User,No,
U0418,Primary Care,Physician,2023-01-31,Web,16,Active,Yes,
U0419,Emergency,Physician,2023-03-09,Web,18,Active,No,
U0420,Emergency,Physician Assistant,2023-02-16,iOS,15,Active,No,
U0421,Oncology,Physician,2023-03-17,Web,21,Power User,Yes,
U0422,Emergency,Registered Nurse,2023-03-22,iOS,23,Power User,No,
U0423,Neurology,Physician,2023-03-23,Web,13,Active,No,
U0424,Cardiology,Nurse Practitioner,2023-03-10,Web,15,Active,No,
U0425,Primary Care,Physician,2023-02-09,Android,16,Active,Yes,2023-10-10
U0426,Oncology,Physician Assistant,2023-03-20,iOS,9,Casual,No,
U0427,Primary Care,Nurse Practitioner,2023-01-16,Web,18,Active,No,
U0428,Emergency,Registered Nurse,2023-01-22,Web,22,Power User,No,
U0429,Primary Care,Physician,2023-01-04,iOS,16,Active,No,
U0430,Primary Care,Physician,2023-03-05,Web,22,Power User,No,
U0431,Emergency,Nurse Practitioner,2023-02-17,Android,20,Power User,No,2023-11-17
U0432,Oncology,Physician,2023-01-02,Web,24,Power User,No,
U0433,Cardiology,Nurse Practitioner,2023-01-05,iOS,8,Casual,No,
U0434,Neurology,Registered Nurse,2023-02-04,Android,19,Active,No,2023-03-28
U0435,Cardiology,Nurse Practitioner,2023-03-08,Web,26,Power User,No,
U0436,Pediatrics,Registered Nurse,2023-01-12,iOS,21,Power User,Yes,
U0437,Emergency,Registered Nurse,2023-03-21,Android,22,Power User,No,
U0438,Primary Care,Care Coordinator,2023-02-01,Web,16,Active,No,2023-12-04
U0439,Pediatrics,Physician,2023-02-12,Android,24,Power User,No,2023-11-28
U0440,Cardiology,Physician Assistant,2023-03-04,Android,15,Active,No,
U0441,Pediatrics,Physician,2023-01-06,iOS,26,Power User,No,
U0442,Primary Care,Physician,2023-03-16,Web,14,Active,No,
U0443,Oncology,Care Coordinator,2023-03-14,Web,17,Active,No,
U0444,Neurology,Registered Nurse,2023-02-10,Web,24,Power User,No,
U0445,Cardiology,Care Coordinator,2023-01-14,Web,13,Active,No,
U0446,Cardiology,Physician Assistant,2023-02-09,Web,17,Active,No,2023-08-04
U0447,Primary Care,Care Coordinator,2023-01-06,Web,14,Active,No,
U0448,Neurology,Care Coordinator,2023-01-07,iOS,20,Power User,No,
U0449,Oncology,Physician Assistant,2023-02-27,Web,10,Active,Yes,
U0450,Oncology,Physician,2023-01-08,Android,16,Active,No,
U0451,Neurology,Registered Nurse,2023-03-29,iOS,18,Active,No,
U0452,Oncology,Physician,2023-01-26,Android,14,Active,No,
U0453,Pediatrics,Physician,2023-01-06,Android,19,Active,No,
U0454,Neurology,Physician,2023-02-18,iOS,18,Active,No,
U0455,Cardiology,Registered Nurse,2023-02-05,iOS,20,Power User,No,
U0456,Neurology,Physician Assistant,2023-03-12,Web,16,Active,Yes,
U0457,Neurology,Nurse Practitioner,2023-03-24,iOS,20,Power User,No,
U0458,Neurology,Registered Nurse,2023-03-03,iOS,19,Active,No,
U0459,Emergency,Registered Nurse,2023-02-19,iOS,22,Power User,Yes,
U0460,Pediatrics,Physician,2023-03-02,iOS,19,Active,No,
U0461,Cardiology,Physician,2023-02-01,Android,16,Active,No,2023-06-22
U0462,Emergency,Physician Assistant,2023-02-15,Android,12,Active,No,
U0463,Cardiology,Care Coordinator,2023-02-10,Android,14,Active,Yes,
U0464,Emergency,Care Coordinator,2023-01-19,iOS,6,Casual,No,
U0465,Neurology,Care Coordinator,2023-02-09,Web,13,Active,No,2023-11-01
U0466,Oncology,Registered Nurse,2023-03-20,Web,23,Power User,No,
U0467,Pediatrics,Physician,2023-01-03,Web,22,Power User,Yes,
U0468,Pediatrics,Physician,2023-02-17,iOS,23,Power User,No,
U0469,Pediatrics,Registered Nurse,2023-02-11,Android,24,Power User,No,
U0470,Primary Care,Registered Nurse,2023-01-23,iOS,24,Power User,No,
U0471,Emergency,Registered Nurse,2023-01-29,Web,18,Active,No,
U0472,Cardiology,Physician,2023-03-31,Android,12,Active,No,
U0473,Emergency,Physician,2023-01-24,Android,11,Active,No,
U0474,Neurology,Nurse Practitioner,2023-02-12,iOS,11,Active,No,
U0475,Cardiology,Physician,2023-04-01,Web,15,Active,Yes,
U0476,Primary Care,Physician,2023-02-14,Web,12,Active,Yes,2023-09-15
U0477,Neurology,Physician Assistant,2023-01-22,Web,18,Active,No,2023-11-02
U0478,Emergency,Nurse Practitioner,2023-01-21,Web,13,Active,No,2023-03-12
U0479,Pediatrics,Registered Nurse,2023-01-14,Web,24,Power User,No,
U0480,Oncology,Registered Nurse,2023-03-18,Android,23,Power User,No,
U0481,Neurology,Nurse Practitioner,2023-03-19,Web,18,Active,No,
U0482,Primary Care,Care Coordinator,2023-03-11,Web,11,Active,No,
U0483,Oncology,Physician Assistant,2023-03-15,Web,11,Active,Yes,2023-11-02
U0484,Cardiology,Physician,2023-01-04,Web,17,Active,No,
U0485,Neurology,Physician,2023-02-09,Android,19,Active,No,
U0486,Neurology,Nurse Practitioner,2023-02-17,Android,12,Active,No,
U0487,Pediatrics,Physician Assistant,2023-03-01,iOS,14,Active,No,
U0488,Oncology,Physician,2023-03-27,Web,26,Power User,No,
U0489,Emergency,Nurse Practitioner,2023-03-12,iOS,20,Power User,No,
U0490,Neurology,Care Coordinator,2023-01-31,Web,13,Active,Yes,
U0491,Primary Care,Physician,2023-03-06,iOS,14,Active,No,
U0492,Neurology,Nurse Practitioner,2023-01-22,Android,14,Active,No,
U0493,Neurology,Physician,2023-03-29,iOS,5,Casual,No,
U0494,Primary Care,Physician,2023-01-12,Web,23,Power User,No,
U0495,Pediatrics,Care Coordinator,2023-02-28,iOS,13,Active,No,
U0496,Oncology,Physician Assistant,2023-01-20,Web,15,Active,No,
U0497,Oncology,Physician,2023-03-14,Android,19,Active,No,
U0498,Pediatrics,Physician Assistant,2023-03-25,Web,8,Casual,No,2023-07-21
U0499,Neurology,Nurse Practitioner,2023-03-21,Web,11,Active,No,
U0500,Cardiology,Physician,2023-03-02,Android,14,Active,No,2023-08-04
