gene	length	logFC	logCPM	F	PValue	FDR
Colgalt1	4272	0.118936341	4.910879053	0.503872942	0.48918504	0.689577211
Cemip2	6702	-0.115547918	4.87673845	0.504686139	0.488840626	0.689577211
Atg2b	10238	-0.109897681	5.114562173	0.503520534	0.489334426	0.689577211
Mrps21	510	0.07397114	7.089383952	0.503466543	0.48935732	0.689577211
Abracl	882	-0.067258314	8.10395923	0.504471602	0.488931448	0.689577211
Higd2a	613	-0.06725189	6.671028708	0.503959637	0.489148301	0.689577211
Sucla2	2409	0.058586085	6.588054179	0.503354024	0.489405038	0.689577211
Helz	13306	-0.057224092	6.468428832	0.504150923	0.489067259	0.689577211
Vti1b	4494	0.045034397	6.367165419	0.503472951	0.489354603	0.689577211
Cradd	4573	-0.107329719	3.523089428	0.503037672	0.489539241	0.689679988
Tedc1	11185	-0.157795152	5.583825754	0.501544679	0.49017347	0.690487103
Tfpi	4449	0.179569	2.072616349	0.500108627	0.490784864	0.691121208
Gabpa	5235	0.07335888	6.091184316	0.500137874	0.490772399	0.691121208
Ramac	1423	-0.054726896	6.377375318	0.500054848	0.490807786	0.691121208
Npc1	5617	-0.084753985	5.195418074	0.499235457	0.491157264	0.69144035
Ncor1	11483	-0.052294583	6.806326134	0.499303703	0.49112814	0.69144035
Wdhd1	5172	0.112454153	6.011373118	0.499036333	0.491242258	0.691473536
Coq2	3763	0.206389839	3.734720158	0.498650443	0.491407045	0.691619016
Cep55	2839	-0.207806606	5.715807913	0.497893561	0.491730536	0.691987797
As3mt	2845	-0.152489581	2.683639382	0.497698132	0.491814123	0.692018922
Gm13807	1295	0.34157906	1.117487067	0.496638338	0.49226784	0.692570776
Ccdc125	3507	-0.114285489	3.822710606	0.496472006	0.492339117	0.692584503
Paqr4	2608	-0.142482417	4.544387745	0.49521583	0.492877995	0.693136394
Gpd1l	4544	-0.095428467	5.832839859	0.495358562	0.492816714	0.693136394
Gfm2	8458	0.083800082	5.311991582	0.495126989	0.492916146	0.693136394
Wdr73	2604	0.074356562	4.65490883	0.494982736	0.492978103	0.69313694
Tmsb15b1	439	0.231108567	1.071955515	0.49396912	0.493413837	0.693489759
Rps6kc1	5579	0.170902402	2.566883558	0.494091519	0.493361184	0.693489759
Haus4	2474	-0.068155442	6.647842685	0.494132591	0.493343518	0.693489759
Afmid	6589	-0.12155494	4.459180461	0.49373433	0.493514865	0.693545169
Dnajb9	1865	-0.217137812	4.944656698	0.493103531	0.493786471	0.693753662
Smc1a	4359	-0.057712543	7.946083877	0.493148913	0.493766922	0.693753662
E130317F20Rik	3595	-0.311886009	0.929408884	0.492163033	0.494191915	0.693984486
Snora68	98	0.192421042	0.907693012	0.491864751	0.494320624	0.693984486
Acbd3	3471	-0.139937543	4.584193859	0.491947547	0.494284891	0.693984486
Rnpepl1	6060	-0.081328823	5.221830032	0.492168532	0.494189542	0.693984486
Sel1l	6300	0.055221205	6.959351208	0.49210137	0.494218517	0.693984486
Mdm2	7415	-0.048707226	6.63453732	0.492013417	0.494256467	0.693984486
B3gnt3	2601	-0.233907358	1.129147871	0.491394744	0.494523553	0.694171284
Cenpl	2439	-0.081120028	5.638222122	0.491271012	0.494577	0.694171284
Cks1b	757	0.123338133	7.897319067	0.491050782	0.494672155	0.694218289
Kdm3b	7112	-0.06511029	5.564468095	0.490580559	0.494875431	0.694373878
Brd7	5439	0.058860645	5.593011579	0.490509003	0.494906378	0.694373878
Actr8	6023	0.057666038	6.19009938	0.490020866	0.495117577	0.694583636
A430046D13Rik	2169	-0.196856763	2.480311907	0.489617363	0.495292277	0.694640201
Stag1	25284	-0.061780829	6.200039735	0.489528962	0.495330566	0.694640201
Zfp143	3106	0.060442459	5.566021133	0.489500249	0.495343003	0.694640201
4930402H24Rik	8087	-0.139873441	3.586648237	0.488954258	0.495579611	0.694779208
Ptpn12	9501	0.135141585	3.311682654	0.488844334	0.495627271	0.694779208
Vps13c	17785	-0.097720261	4.143301777	0.488981466	0.495567816	0.694779208
Igtp	2023	0.069527313	6.952567003	0.487601763	0.496166579	0.695448624
Btbd10	9582	-0.077692657	5.050141717	0.487066837	0.496399069	0.695601285
Tmem104	4733	0.072783135	4.488937795	0.48714888	0.496363399	0.695601285
Kank3	3435	-0.214297176	1.845677798	0.486626123	0.496590757	0.695739492
Rbbp9	2160	0.199203638	2.701112456	0.48628752	0.496738121	0.695739492
Gbe1	2988	0.131793695	3.807202695	0.486271956	0.496744896	0.695739492
Nkiras1	5311	0.094184724	3.865690303	0.486354948	0.496708769	0.695739492
Zfp82	3396	-0.1073562	3.595906541	0.486127342	0.496807858	0.695741121
Zfp652	2667	-0.235787253	0.883028571	0.485565333	0.497052682	0.69591302
Zfp605	5219	-0.228095291	2.245056195	0.485561765	0.497054237	0.69591302
Wdr13	4655	-0.113620568	4.033787762	0.484928041	0.497330557	0.696213307
Vipr2	11500	0.379935394	0.809608732	0.484733364	0.497415496	0.696245637
Slx1b	3692	0.137544352	3.116178487	0.484264189	0.497620306	0.696445724
Mtcp1	1635	0.239248581	0.791399549	0.483246763	0.498064955	0.696924861
Cenpe	7813	-0.156181743	6.679487227	0.482711964	0.498298963	0.696924861
Fam160a2	15550	0.147512284	4.407279156	0.482694215	0.498306732	0.696924861
Zscan12	4924	0.143356423	2.882701212	0.482492816	0.498394909	0.696924861
Rttn	9001	0.142848205	3.429177734	0.482560564	0.498365244	0.696924861
C9orf72	3584	0.126569605	3.142300006	0.482737675	0.498287708	0.696924861
Mpv17	1811	0.088993538	5.11972914	0.48239145	0.4984393	0.696924861
Zmym4	7361	-0.077818362	4.152635865	0.482348994	0.498457895	0.696924861
Mocs1	2738	-0.135257312	4.00449723	0.482047536	0.498589961	0.697022946
Gns	3864	0.127988654	3.838274406	0.481637747	0.498769586	0.697187484
Marf1	7851	0.086573504	4.46768456	0.481363865	0.498889702	0.69726881
Yrdc	1554	0.206559372	3.531799866	0.481087646	0.499010894	0.697351619
B230307C23Rik	4703	-0.070568249	4.757809914	0.480509908	0.499264548	0.697619497
1700030K09Rik	2703	0.116533493	2.915179465	0.479440687	0.49973459	0.698189627
Ufl1	5772	0.064103426	5.464042815	0.479179727	0.499849429	0.698263417
Wdr24	3099	-0.056736728	5.643216154	0.47865381	0.50008101	0.69850025
Snora70	129	-0.298912117	0.705544517	0.47836855	0.500206701	0.698589138
Gm30461	2482	-0.375063367	1.665120898	0.478095551	0.500327041	0.698670532
Csrp2	889	-0.234896438	1.14033484	0.477678115	0.50051115	0.698840944
Ap2a2	4642	0.077043984	5.881703338	0.477535161	0.500574227	0.698842343
Cdc42	15975	-0.049339266	10.08921365	0.477019738	0.50080177	0.69907332
Dcdc2b	3294	-0.376517672	0.272192532	0.47482402	0.50177317	0.700010484
LOC118568773	14475	0.283708022	1.573392766	0.475348592	0.501540791	0.700010484
Fam83g	4873	0.268337524	1.155557326	0.474244225	0.502030234	0.700010484
Gm43305	1301	-0.253779149	5.755109189	0.474105767	0.502091657	0.700010484
9430091E24Rik	2671	0.213132414	1.614550662	0.474641299	0.501854158	0.700010484
Golga4	10463	-0.116506106	5.085778291	0.474098403	0.502094924	0.700010484
Rab1a	2847	0.088043417	7.110711088	0.474429956	0.501947861	0.700010484
Nudt2	1270	0.082830763	4.212171742	0.474937129	0.501723048	0.700010484
Dock11	9427	-0.079008757	6.822220812	0.474724341	0.501817348	0.700010484
Akap10	16678	-0.078915902	5.315534942	0.474635571	0.501856697	0.700010484
Fam72a	2659	0.192515925	2.8127064	0.47242701	0.502837455	0.700872115
Mzt1	2582	-0.07640404	5.81341869	0.472434531	0.50283411	0.700872115
Btbd2	2461	0.122873903	3.302155847	0.472262704	0.502910555	0.700887228
Rcor1	5669	-0.08782976	4.704489607	0.472081001	0.502991417	0.700913155
Gm41077	5075	0.217602107	1.569128456	0.471111689	0.503423175	0.701427983
Tet2	9739	0.101464802	4.844205566	0.470683126	0.503614279	0.701462514
Pex19	3131	0.073248091	5.93936788	0.470688639	0.50361182	0.701462514
Emc10	2269	-0.052754385	7.342517328	0.47063694	0.503634882	0.701462514
Adgre5	3317	0.054891407	6.572614893	0.470280252	0.503794046	0.701597399
Dars2	3700	0.100386978	5.33887654	0.469699044	0.50405359	0.701698444
Prune1	4811	0.088859922	4.063998137	0.469870325	0.503977078	0.701698444
Cenpt	3074	-0.080143507	4.561096365	0.469713324	0.504047211	0.701698444
LOC118568094	11109	-0.228740851	1.216577536	0.467327044	0.505115309	0.703089534
Tfcp2	4984	0.159004142	3.084098442	0.466960456	0.505279752	0.703231481
Rnf19b	2728	0.14586219	4.019474835	0.46650628	0.505483618	0.703428254
Mknk1	4103	-0.073334036	5.283762499	0.46616876	0.505635217	0.703552252
Cep19	1760	-0.068285468	5.461982791	0.465900752	0.505755651	0.703632862
Tada3	2249	0.056651742	5.810468158	0.465649926	0.505868411	0.703702777
Nbdy	856	-0.092758926	4.857951466	0.465501254	0.505935269	0.703708828
Rnpep	2742	0.078478448	6.610017115	0.464421213	0.506421437	0.704298028
Dda1	1961	-0.046745706	7.157300647	0.464150918	0.506543238	0.704380406
Fbxo36	4668	0.255272501	1.664330656	0.464008403	0.506607479	0.704382734
Phldb3	3299	-0.268618368	0.313124794	0.46364536	0.506771195	0.704523353
Mfap1a	3419	0.067729741	5.354710463	0.463462161	0.506853845	0.704551252
Tfdp2	8657	-0.107488239	4.074663651	0.463066208	0.507032562	0.704625673
Klk8	1390	-0.084812557	5.524232001	0.463203118	0.506970753	0.704625673
Tmem263	3778	0.128362506	3.038124016	0.462615641	0.507236067	0.704821481
Usp1	3596	0.126772633	6.627468418	0.462105325	0.507466735	0.704973612
Bora	4603	-0.090466635	5.971435939	0.461957896	0.50753341	0.704973612
Tomm7	1109	0.073219051	7.564959625	0.461980865	0.507523021	0.704973612
Diablo	3892	0.052569762	6.687126817	0.461586745	0.507701332	0.705051833
Myl12a	1907	0.044539832	9.418205762	0.461556596	0.507714977	0.705051833
Pip4k2b	13251	-0.074818969	4.409130246	0.461089267	0.507926566	0.705258668
Brip1os	6508	0.076437197	5.852944415	0.459661264	0.508574095	0.706070683
Snx17	2057	0.048256687	7.025474563	0.459200626	0.508783289	0.706274016
Gm52364	13023	0.392524371	0.415898003	0.458603931	0.509054502	0.706563381
C030006K11Rik	1821	-0.092039022	3.953873178	0.458228208	0.509225411	0.706713471
Gm20257	936	0.202850306	2.900974849	0.457889715	0.509379473	0.706753033
Pard6g	3208	0.169696332	2.328895775	0.457997612	0.509330356	0.706753033
Xpnpep1	3670	-0.072276751	6.829399735	0.457555297	0.509531763	0.706790117
Osbpl8	7915	0.071760827	5.86691603	0.457598278	0.509512186	0.706790117
Klhdc2	1946	-0.162063977	4.473922901	0.456990281	0.509789251	0.707000002
Ctsc	11154	-0.059338269	7.330294475	0.456947689	0.509808671	0.707000002
Slc7a4	4065	-0.439211535	-0.102205179	0.456206589	0.510146783	0.707124874
LOC118567423	4581	0.200841827	1.616249104	0.45611226	0.510189848	0.707124874
Tmc4	2346	0.19306138	2.094971075	0.456335223	0.510088068	0.707124874
Ube2z	3974	0.123169769	5.655364858	0.456062061	0.510212769	0.707124874
Disp1	5492	-0.112654462	3.820334372	0.456471811	0.510025734	0.707124874
Btbd1	5145	0.087858887	4.422540071	0.45471909	0.510826648	0.707888528
Ap1s1	2340	0.060652701	7.109552814	0.453474775	0.511396623	0.70859116
Zdhhc2	7538	-0.12118502	3.247875353	0.453020436	0.511605025	0.708792687
5430431A17Rik	795	-0.312168099	0.530959595	0.452377782	0.511900069	0.708799264
Trappc2	1462	-0.119858812	3.552836461	0.452818931	0.511697503	0.708799264
Ubqln2	3331	0.098787267	4.040590699	0.452324444	0.511924571	0.708799264
Arnt	4552	-0.0805877	5.683007738	0.452574818	0.511809577	0.708799264
Babam1	3087	0.047556329	6.695096604	0.45242808	0.511876966	0.708799264
Heca	5244	-0.117272782	4.363232367	0.451729116	0.512198186	0.708916545
Pex2	5015	-0.051763227	6.081685561	0.451795136	0.51216783	0.708916545
Sf3b2	3235	0.044111901	8.52715249	0.451743085	0.512191762	0.708916545
Anapc1	9718	0.085977949	7.321872469	0.451351415	0.512371916	0.709043593
Usp22	4442	0.083028249	5.683498881	0.451118889	0.512478923	0.709043593
Gtpbp3	5554	-0.076603889	4.383278883	0.451127645	0.512474893	0.709043593
Ptgir	3334	0.228142768	2.326052562	0.450810413	0.512620945	0.709152937
Gm38865	43926	0.220424959	3.789849452	0.450063438	0.512965147	0.709541912
Gm30990	6957	0.375614862	0.868770373	0.44847824	0.513696986	0.710466913
Ccnt2	3514	-0.05841012	5.619921497	0.447856956	0.513984332	0.710689708
Ndufa3	351	0.055901482	8.349000427	0.44798355	0.513925758	0.710689708
Dntt	2143	-0.305809411	0.543889272	0.447408623	0.514191868	0.710714801
Xk	5043	-0.195792086	1.738533583	0.447452532	0.514171536	0.710714801
Appl1	7078	0.05222251	6.434284859	0.447587	0.514109279	0.710714801
Lca5	7288	0.198393944	1.149354372	0.447037498	0.514363781	0.710777886
Rpgrip1l	8874	0.155017919	1.924702487	0.447115173	0.514327791	0.710777886
Zfp93	5670	-0.237564719	1.67724024	0.445758634	0.514956974	0.710877286
LOC115488691	139	-0.19533337	3.309408583	0.446435352	0.514642928	0.710877286
Arhgap19	5209	-0.178241945	6.387651534	0.446296433	0.514707368	0.710877286
Rad51b	8011	0.165447004	2.726495773	0.445528638	0.515063789	0.710877286
Hs1bp3	4353	-0.132542473	3.096615677	0.445521394	0.515067154	0.710877286
Dnajc16	5851	-0.099191532	3.414287468	0.445632927	0.51501535	0.710877286
Use1	1294	-0.078288035	6.38156328	0.446630841	0.514552272	0.710877286
Btd	2001	-0.068040237	4.6291809	0.445820037	0.514928465	0.710877286
Gosr1	4288	-0.066296002	5.975645554	0.44635525	0.514680083	0.710877286
Mrps11	1049	0.065659	5.660340971	0.445645013	0.515009737	0.710877286
Cdk20	2223	0.214483418	2.131271868	0.44462668	0.515483064	0.711364101
Ube2q2	3547	-0.105574269	4.17825735	0.444384737	0.515595637	0.711432244
Mrpl34	646	0.073148564	5.726522965	0.4437982	0.515868732	0.711655189
Blvra	1664	0.053688809	6.426701333	0.4437662	0.515883638	0.711655189
Ube2q1	3203	0.073231025	5.494229871	0.443458497	0.516027019	0.711765766
Tubb4b	1600	0.107104994	8.67251557	0.44249401	0.516476913	0.712299043
Zfp955b	5809	0.103850411	3.680283069	0.442208705	0.516610134	0.712378964
Zfp830	3278	-0.091354249	4.654113637	0.442098911	0.516661418	0.712378964
Lrrc40	2831	0.071417554	5.169037747	0.441959491	0.516726553	0.712381526
Hivep1	12120	-0.083081147	4.684693276	0.440778707	0.517278804	0.713055562
Diaph1	5899	-0.067905867	5.782175578	0.440193618	0.517552849	0.713345981
Ubash3b	7264	-0.065909024	6.080697953	0.439921214	0.517680528	0.713434617
Pex7	1894	0.057715165	4.881388186	0.439692528	0.517787761	0.713495056
Polr2a	6736	0.071818356	7.64378854	0.439475968	0.517889345	0.713547699
TrnT	67	0.187014526	2.245777408	0.438763104	0.518223994	0.713921405
Gatad2b	13982	0.071937059	5.633151914	0.438464167	0.518364445	0.71402752
Gm14279	1491	-0.207940247	1.355560327	0.438060982	0.518553986	0.714201221
Zfp787	3113	0.082500465	3.829777718	0.437718674	0.518715008	0.714335604
Cep162	7694	0.107150297	4.057276785	0.436422843	0.519325399	0.715088716
Pmaip1	2654	0.255463227	1.5264639	0.435608419	0.519709701	0.715374093
Commd2	2961	0.069282548	5.900562432	0.435579659	0.519723282	0.715374093
Tbc1d20	3468	-0.063042749	5.708502149	0.435586513	0.519720045	0.715374093
Sgo1	3730	0.149586468	5.621760366	0.434892772	0.520047824	0.715529551
Gla	3153	-0.130685106	3.462844775	0.434861487	0.520062615	0.715529551
Pja2	4706	0.082283447	5.31735457	0.435168912	0.519917308	0.715529551
B2m	858	0.077502825	11.41453596	0.434802608	0.520090453	0.715529551
Trav9n-4	340	-0.371554254	0.829939689	0.432606701	0.52113064	0.71593727
Gm13840	8692	-0.218628513	1.220156773	0.432819617	0.521029616	0.71593727
Trbv12-1	372	-0.189952486	3.001020025	0.433122011	0.520886198	0.71593727
Apoe	2440	-0.165264042	3.412589563	0.433115007	0.520889519	0.71593727
Asf1b	1599	-0.147556511	7.959104116	0.432566052	0.521149931	0.71593727
Smim26	460	0.128049722	3.457100613	0.433504063	0.520705104	0.71593727
Cst7	986	-0.108198748	5.098969567	0.432970257	0.520958162	0.71593727
Snapc1	7665	0.067746438	4.616178458	0.432971242	0.520957695	0.71593727
Cisd1	965	0.061361144	6.33823478	0.433750329	0.520588434	0.71593727
Gskip	2787	0.056689939	6.510086335	0.432611841	0.521128201	0.71593727
Fnbp4	6586	0.048595711	6.762651163	0.433992488	0.520473757	0.71593727
Cnot10	4133	-0.047551053	6.027039965	0.433662443	0.520630065	0.71593727
Rcn2	2607	0.049475721	5.892614632	0.432378021	0.521239184	0.715972516
Hspa1a	2798	-0.630588612	5.582567258	0.431539058	0.521637759	0.716364579
Fam229b	822	-0.240481207	0.542450045	0.431509364	0.521651876	0.716364579
Zcwpw1	4333	0.176032936	2.680940139	0.431348442	0.521728395	0.716382275
Cnksr3	3584	0.301114081	0.789725661	0.430306442	0.522224369	0.716801018
Cdr2	2550	0.206902055	1.655646469	0.430314521	0.522220521	0.716801018
Ptprs	16704	0.137100573	4.969687471	0.430308681	0.522223302	0.716801018
2610001J05Rik	3177	0.057068471	6.25381012	0.430099278	0.522323079	0.716849107
S100a1	615	0.258063055	1.313749524	0.429535105	0.522592072	0.716934531
Zfp526	6638	0.134175095	2.722460678	0.429503579	0.522607111	0.716934531
Dhrsx	2250	-0.072987738	4.938029375	0.429434534	0.522640051	0.716934531
Nrd1	4515	0.055122334	6.959859812	0.429567919	0.52257642	0.716934531
Maged1	2921	-0.218279337	2.79805129	0.429153966	0.522773941	0.717030827
Sfmbt2	17847	0.155406359	2.698759205	0.42776636	0.523437055	0.717590643
Asb7	5678	-0.122580793	3.49196622	0.428028225	0.523311795	0.717590643
Zfp41	6548	-0.10940927	4.527298423	0.427969632	0.523339817	0.717590643
Ormdl1	1846	0.05173253	6.361037926	0.427869794	0.523387572	0.717590643
Ttc14	9957	0.07601464	5.811066815	0.427473559	0.523577178	0.717695345
Gm39469	2942	0.097221333	4.017145837	0.427275748	0.523671882	0.717737771
Sapcd2	3772	-0.19059933	5.285782972	0.42629808	0.524140415	0.717942911
Gorab	2685	-0.112544884	3.160383455	0.426410614	0.524086445	0.717942911
Gm15564	2094	0.083834201	10.45473291	0.426332645	0.524123837	0.717942911
Glrx2	5195	0.06365575	5.844471831	0.426664871	0.523964545	0.717942911
Dnpep	2216	0.054347208	5.872794683	0.42634841	0.524116276	0.717942911
Whamm	3890	0.137815461	2.978000299	0.425927721	0.524318107	0.718011585
Erlin2	4783	0.077323691	4.336762508	0.425984584	0.524290817	0.718011585
Zfp689	3621	0.105770474	3.690456838	0.425304227	0.5246175	0.718334202
2410006H16Rik	461	0.109975657	6.859217323	0.424299893	0.525100433	0.718908023
Gm4890	2642	-0.232196021	1.075080963	0.423488359	0.52549126	0.719331125
2500004C02Rik	1898	-0.196897558	1.462541248	0.423263033	0.525599871	0.719331125
Arfgap3	2750	-0.090782762	4.012953446	0.423260363	0.525601158	0.719331125
Slc30a1	5360	-0.230298604	1.768274104	0.422993522	0.525729834	0.719332337
Mad2l2	2567	0.064908206	5.548733406	0.423117994	0.525669804	0.719332337
Gm16861	1531	-0.228480171	0.389553612	0.42209669	0.526162732	0.719574835
AI987944	3841	0.096353047	5.134821767	0.422398224	0.526017109	0.719574835
Zfp511	1917	0.07766464	5.094323447	0.422274368	0.526076915	0.719574835
Cwc15	1195	-0.049142937	6.908680543	0.42213561	0.526143932	0.719574835
Itprid2	6296	0.155279302	2.402459985	0.421915635	0.526250207	0.719607049
TrnF	68	-0.266345788	3.588241273	0.420889036	0.52674671	0.719764775
Scamp1	4439	-0.227474377	1.485177294	0.4215412	0.526431198	0.719764775
9930104L06Rik	3117	0.126423859	3.430892575	0.420944733	0.526719751	0.719764775
Zfp36l1	2984	0.091794827	7.383668141	0.420883985	0.526749155	0.719764775
Ints6l	7255	-0.072098584	4.944835382	0.421278506	0.526558245	0.719764775
Nktr	19634	0.06085555	6.547972779	0.421007598	0.526689325	0.719764775
Pibf1	4110	-0.099720036	3.779665493	0.419909766	0.527221134	0.720082166
Rc3h2	9062	-0.099104293	4.255816209	0.420244781	0.527058741	0.720082166
Umad1	2252	-0.074180931	4.63850839	0.419876469	0.52723728	0.720082166
Tmed4	1625	-0.06116967	5.470850755	0.419948672	0.52720227	0.720082166
Rab2a	15329	0.070407511	7.117825382	0.419270487	0.527531273	0.720396297
Trbj1-4	51	-0.283856704	2.689842395	0.41898488	0.527669942	0.720441807
Pip4p2	2595	-0.095586418	4.949468724	0.418938253	0.527692587	0.720441807
Ctc1	5155	0.087811397	5.808562667	0.417524413	0.528380093	0.721292966
Tbxas1	37767	0.321459664	1.256104581	0.417025521	0.528623087	0.721362269
Haao	4761	0.306583042	1.402558949	0.417038764	0.528616634	0.721362269
Gpkow	3575	-0.052022748	6.282778253	0.417195435	0.528540305	0.721362269
Ccdc167	5646	-0.141965682	2.445795613	0.416692022	0.52878564	0.721496636
Safb	3189	0.077698092	6.574170225	0.416403792	0.528926204	0.72160097
Cgrrf1	1438	0.114589121	3.317591931	0.416171504	0.529039536	0.721668132
Bag4	4798	-0.071600796	4.27900452	0.415620643	0.52930848	0.721860068
Cpne1	3520	0.069354308	6.729240648	0.415683595	0.529277732	0.721860068
B230217O12Rik	1954	-0.320992711	0.647382485	0.415294953	0.52946761	0.721989626
Cisd3	1218	0.066587098	5.654893214	0.415064074	0.52958047	0.722056065
Fmnl3	4533	0.068452065	6.584120683	0.413519915	0.530336454	0.722999249
Slf2	7783	0.071843108	5.600235465	0.413276213	0.53045595	0.723074595
Cenpk	2314	0.145728436	5.127736928	0.412772397	0.530703147	0.723181868
Rfc4	1216	0.087715296	6.388165218	0.412799606	0.530689791	0.723181868
Ap5m1	6796	-0.063427065	5.183858343	0.412723077	0.530727358	0.723181868
Tuft1	2984	0.16075125	2.440383363	0.412209532	0.530979573	0.723350439
Dop1b	15236	-0.078787635	5.137446987	0.412246291	0.530961512	0.723350439
n-TRacg6	73	-0.230146042	2.302309424	0.412018233	0.531073582	0.723390073
AU022252	5690	-0.096282863	4.032926871	0.411888859	0.531137177	0.723390073
Parpbp	4164	-0.122996525	4.577826807	0.411502126	0.531327365	0.723561567
Cfp	1636	0.208099645	1.466916388	0.411269569	0.531441794	0.723612888
Lst1	416	0.205207856	1.552867642	0.411043368	0.531553139	0.723612888
Zfp940	8452	0.133602759	2.971123931	0.411033744	0.531557877	0.723612888
Gm9833	1660	0.203930182	0.526315445	0.410526317	0.531807818	0.723725978
Agl	9963	0.149376949	2.620205695	0.41052028	0.531810793	0.723725978
Ptprv	6089	-0.058652327	6.572625555	0.410397251	0.531871426	0.723725978
Atp6v1f	635	0.049570722	8.201102565	0.410343148	0.531898094	0.723725978
Hexdc	4532	-0.17342131	1.441218578	0.409243036	0.5324409	0.723764749
Fyco1	8711	0.140115921	4.405995431	0.409488511	0.532319691	0.723764749
Gins1	1604	0.11852838	4.21789043	0.409248837	0.532438035	0.723764749
Polh	3234	0.108686574	5.121460857	0.409809808	0.53216112	0.723764749
Rab3gap2	7081	-0.064267914	5.79933775	0.409261341	0.53243186	0.723764749
Odr4	3273	-0.062912119	4.800787209	0.409832873	0.53214974	0.723764749
Zbtb38	17323	-0.062882392	5.28718971	0.4093444	0.532390843	0.723764749
Arid2	9547	0.052116069	5.860514956	0.409834244	0.532149063	0.723764749
LOC102634078	2060	0.235993641	1.103618862	0.409091057	0.53251597	0.723779403
Ap4s1	31399	-0.062794979	5.13673318	0.40893677	0.5325922	0.723795629
Dusp7	3213	0.081721409	3.87347899	0.408554756	0.532781033	0.723964861
Ccdc51	2397	-0.088580619	3.925602503	0.408057574	0.533026984	0.724211657
Gm41523	1931	0.285480201	0.708941316	0.406967298	0.53356708	0.724422496
Gm35730	5060	-0.252941615	1.246867133	0.40691167	0.533594665	0.724422496
LOC118567375	36545	0.228685985	1.854795324	0.406838721	0.533630842	0.724422496
Sall2	5336	0.152806447	2.899994107	0.40715197	0.533475526	0.724422496
Rnf227	1746	-0.130448267	2.806131424	0.40670648	0.533696436	0.724422496
Ipo13	3976	0.110798954	4.989353579	0.407206108	0.533448692	0.724422496
Wrap53	2851	0.070268857	5.020977381	0.407370217	0.533367364	0.724422496
Nt5c	1091	-0.053077292	6.751697635	0.406705459	0.533696943	0.724422496
Yipf5	2329	-0.074704927	5.827111647	0.405866449	0.53411346	0.724900462
Flcn	9248	-0.057098542	5.896606506	0.405728545	0.53418198	0.724906067
Ndufc1	694	0.068925207	6.958122489	0.404996039	0.534546214	0.725312917
Gm31493	3207	-0.106446557	3.147001096	0.40440449	0.534840699	0.725362798
Zfyve19	2160	0.069878458	5.095552153	0.404482944	0.534801625	0.725362798
Cwf19l1	5969	0.066910886	4.282555095	0.404601078	0.5347428	0.725362798
Wtap	6562	0.053012109	6.365543123	0.404571634	0.53475746	0.725362798
Epb41l2	9029	-0.070244868	5.671532379	0.403810993	0.535136462	0.725676499
Rps15a-ps6	824	0.140391631	3.087378465	0.402774549	0.535653704	0.726290425
Prdx4	2947	0.105562499	6.099904793	0.402376696	0.535852506	0.726472484
St6galnac6	2695	0.189852094	1.697862694	0.402042683	0.536019515	0.726600561
AB010352	10259	-0.115074939	2.902280045	0.401572228	0.536254913	0.726600561
Bcdin3d	1271	-0.106729449	3.8443956	0.401773674	0.536154093	0.726600561
Cd2ap	5993	0.093118991	4.799642195	0.401542728	0.53626968	0.726600561
Rbm45	1922	0.069992559	4.941369904	0.401744053	0.536168915	0.726600561
Copz1	1981	0.050350239	8.032074396	0.401232971	0.536424786	0.726723254
Vamp3	2115	0.055731419	5.872765044	0.400772182	0.536655675	0.726948574
Dync1li1	2046	-0.056097385	5.999307418	0.400641136	0.536721373	0.726950099
Sfswap	6438	-0.059654555	5.175637424	0.400463129	0.536810639	0.726983541
Prrg1	6901	0.195010751	0.916305227	0.400200002	0.536942642	0.727074845
5830416I19Rik	2630	-0.174006637	1.634831204	0.399832439	0.53712714	0.727149753
Kbtbd8	4732	0.171847642	2.600540043	0.399958884	0.537063658	0.727149753
Abhd17b	2759	0.092582254	3.480733794	0.399664146	0.537211655	0.727176723
LOC118567770	1054	0.232188275	1.286547709	0.399244227	0.537422642	0.727200013
Ect2	4572	-0.128688149	5.635372171	0.399317543	0.537385794	0.727200013
Trappc12	7802	-0.055490082	6.332727467	0.399373655	0.537357595	0.727200013
Ttc8	2357	0.22068224	0.795318539	0.398878271	0.537606645	0.727265805
Uri1	3599	0.103348097	5.598769361	0.398956629	0.537567237	0.727265805
Map3k7	6293	0.077770266	4.673734929	0.398762132	0.537665064	0.727265805
Trim45	8358	0.196896014	1.618389959	0.398128035	0.537984237	0.727435328
Cdk9	8915	0.102259024	6.10195406	0.398148663	0.537973848	0.727435328
Vps11	3570	-0.063921436	5.701806967	0.39813291	0.537981781	0.727435328
Nadk2	4066	0.147601634	2.612165469	0.397792881	0.538153081	0.72748888
Dpf2	3356	0.043173671	7.081141695	0.397865427	0.538116526	0.72748888
Rbbp4	4407	0.046541892	9.205824014	0.397521664	0.53828979	0.727586319
Kin	1440	-0.074307996	4.884800848	0.397073677	0.538515744	0.727804351
Slc35f2	2994	0.108922299	3.985515133	0.39676469	0.538671694	0.727840367
Rheb	1521	-0.0587795	6.229359891	0.396785686	0.538661095	0.727840367
Gm32036	7319	0.209576398	0.781909361	0.396479285	0.538815819	0.727947737
Nhej1	1405	0.100730358	3.361237982	0.395852103	0.539132794	0.728201199
